config,cinebench,ppt
stock,19960,142
stock,19836,142
stock,19751,142
stock,19585,142
stock,19382,142
stock,19385,142
stock,19363,142
stock,19351,142
stock,19335,142
stock,19327,142
stock,19325,142
stock,19304,142
stock,19288,142
stock,19281,142
eco,16443,87
eco,16224,87
eco,16174,87
eco,16172,87
eco,16156,87
eco,16132,87
eco,16087,87
eco,16047,87
eco,16011,87
eco,15992,87
eco,15964,87
eco,15961,87
eco,15959,87
65w,12034,65
65w,11956,65
65w,11888,65
65w,11836,65
65w,11782,65
65w,11764,65
65w,11723,65
65w,11708,65
65w,11700,65
65w -5,12382,65
65w -5,12253,65
65w -5,12259,65
65w -5,12250,65
65w -5,12245,65
65w -5,12236,65
65w -5,12218,65
65w -5,12208,65
65w -5,12172,65
65w -5,12161,65
65w -10,12927,65
65w -10,12846,65
65w -10,12745,65
65w -10,12708,65
65w -10,12683,65
65w -10,12654,65
65w -10,12620,65
65w -10,12613,65
65w -10,12595,65
65w -10,12596,65
65w -15,13545,65
65w -15,13340,65
65w -15,13276,65
65w -15,13270,65
65w -15,13253,65
65w -15,13239,65
65w -15,13215,65
65w -15,13197,65
65w -15,13188,65
65w -15,13146,65
65w -20,14219,65
65w -20,14078,65
65w -20,14054,65
65w -20,14065,65
65w -20,14066,65
65w -20,14073,65
65w -20,14068,65
65w -20,14059,65
65w -20,14058,65
65w -20,14047,65
65w -20,14043,65